日期,门店名称,品类,营收,客流量,客单价,坪效,毛利率,库存周转天数
2023-01-01,门店1,食品,8617.606844275273,110.0,78.34188040250248,86.17606844275274,0.2823844269050346,11
2023-01-01,门店1,饮料,10926.817176918057,164.0,66.6269340055979,109.26817176918057,0.24379264098636158,15
2023-01-01,门店1,日用品,8127.84290745031,85.0,95.62168126412129,81.2784290745031,0.22095609329882426,25
2023-01-01,门店1,生鲜,6318.3679338491675,61.0,103.57980219424864,63.18367933849167,0.3269357483807299,16
2023-01-01,门店1,家电,7549.9991098769615,102.0,74.0195991164408,75.49999109876961,0.22340912948908861,20
2023-01-01,门店2,食品,7235.680121014462,94.0,76.97532043632407,72.35680121014462,0.2418066441752615,23
2023-01-01,门店2,饮料,,,,,0.24826739078862003,29
2023-01-01,门店2,日用品,7774.993121751028,107.0,72.6634871191685,77.74993121751028,0.2199873074947044,25
2023-01-01,门店2,生鲜,9631.739597354937,140.0,68.7981399811067,96.31739597354937,0.2110808996454553,11
2023-01-01,门店2,家电,50215.06718134166,117.0,85.83772167750712,100.43013436268333,0.23067635247177223,22
2023-01-01,门店3,食品,4892.766955668565,80.0,61.159586945857065,48.92766955668565,0.30459961321788354,10
2023-01-01,门店3,饮料,8226.749543876169,139.0,59.18524851709474,82.26749543876169,0.14108328765881456,8
2023-01-01,门店3,日用品,5151.233081471621,56.0,91.98630502627894,51.51233081471621,0.25856841405949854,12
2023-01-01,门店3,生鲜,9267.447280121052,77.0,120.35645818339029,92.67447280121053,0.2631743020115105,28
2023-01-01,门店3,家电,11193.985011031673,187.0,59.86088241193408,111.93985011031673,0.20597043669764467,17
2023-01-01,门店4,食品,8229.18893113829,110.0,74.81080846489354,82.29188931138289,0.21615389998470205,28
2023-01-01,门店4,饮料,8876.271649891953,94.0,94.4284218073612,88.76271649891953,0.28388837048366705,9
2023-01-01,门店4,日用品,7976.0707777335365,89.0,89.61877278352289,79.76070777733537,0.2051832408435349,27
2023-01-01,门店4,生鲜,7248.027403859382,114.0,63.57918775315247,72.48027403859382,0.19018966879596647,7
2023-01-01,门店4,家电,3958.150604375877,44.0,89.95796828126993,39.581506043758765,0.14777884890900425,19
2023-01-01,门店5,食品,9906.331993943093,104.0,95.25319224945282,99.06331993943093,0.2897797731947971,27
2023-01-01,门店5,饮料,7419.391412002609,71.0,104.49847059158604,74.1939141200261,0.11901274479551277,14
2023-01-01,门店5,日用品,9349.280634844254,157.0,59.54955818372136,93.49280634844254,0.23595968542366233,11
